time	V(h)
0.000000000000000e+000	4.728334e-005
6.629960526174050e-010	7.037707e-004
1.325992105234810e-009	1.349122e-003
1.988988157852215e-009	1.983339e-003
2.651984210469620e-009	2.606419e-003
3.314980263087025e-009	3.218365e-003
3.977976315704430e-009	3.819174e-003
4.640972368321833e-009	4.408848e-003
8.685774721097253e-009	7.852547e-003
1.279682787050309e-008	1.105832e-002
1.751874386140157e-008	1.436525e-002
2.212666673758297e-008	1.718309e-002
2.941778863753310e-008	2.086248e-002
3.910633709302134e-008	2.448454e-002
5.158214277575956e-008	2.712753e-002
6.699213005409609e-008	2.745647e-002
8.722716759085282e-008	2.378251e-002
1.097724675380373e-007	1.541169e-002
1.349058753207273e-007	2.458064e-003
1.568991337710082e-007	-1.056650e-002
1.746440894531987e-007	-2.134180e-002
1.931124878583132e-007	-3.197053e-002
2.109337001159832e-007	-4.092370e-002
2.379796305999854e-007	-5.150177e-002
2.697139865682032e-007	-5.948356e-002
3.033268233882867e-007	-6.291936e-002
3.370219102339671e-007	-6.192351e-002
3.791516861854223e-007	-5.661819e-002
4.295426540931789e-007	-4.726150e-002
4.825893187057860e-007	-3.479356e-002
5.498029979743479e-007	-1.383082e-002
6.258700544746113e-007	2.097374e-002
7.261288052340209e-007	8.688331e-002
8.182218430355959e-007	1.653165e-001
8.741124532360103e-007	2.209168e-001
9.164314323254933e-007	2.682740e-001
9.283697991361371e-007	2.820637e-001
9.403081659467809e-007	2.961023e-001
9.522465327574247e-007	3.103898e-001
9.641848995680686e-007	3.249262e-001
9.761232663787124e-007	3.397115e-001
9.880616331893561e-007	3.547456e-001
1.000000000000000e-006	3.700287e-001
1.007303077095659e-006	3.730465e-001
1.017040513223204e-006	3.788266e-001
1.032063049337809e-006	3.909335e-001
1.049081190793552e-006	4.089389e-001
1.068006046896321e-006	4.340737e-001
1.089331035067780e-006	4.680974e-001
1.116148198847732e-006	5.169808e-001
1.137816085574999e-006	5.599269e-001
1.151703653017296e-006	5.887457e-001
1.164193318165037e-006	6.151117e-001
1.176259146498540e-006	6.406234e-001
1.188767857238461e-006	6.668710e-001
1.202747379348445e-006	6.957516e-001
1.216668958783458e-006	7.238411e-001
1.231962185234691e-006	7.536770e-001
1.252044519721470e-006	7.910511e-001
1.280122599963054e-006	8.398097e-001
1.328971794007185e-006	9.186136e-001
1.356940902904387e-006	9.609543e-001
1.378953486310583e-006	9.927465e-001
1.401329465090749e-006	1.024347e+000
1.423305324808645e-006	1.054921e+000
1.447797455961541e-006	1.088519e+000
1.474984847905864e-006	1.124879e+000
1.526779189228618e-006	1.190727e+000
1.583676159551168e-006	1.255866e+000
1.655115530862648e-006	1.323977e+000
1.725376668791194e-006	1.372648e+000
1.831215556461266e-006	1.412449e+000
1.961946286911428e-006	1.417094e+000
2.094071072418102e-006	1.376180e+000
2.209518729317426e-006	1.305082e+000
2.324710195031182e-006	1.207724e+000
2.449551160292553e-006	1.085336e+000
2.562969372529560e-006	9.682562e-001
2.668561451980471e-006	8.614807e-001
2.774379612640795e-006	7.638354e-001
2.890034365053487e-006	6.733561e-001
2.997318151309930e-006	6.091710e-001
3.112413206291171e-006	5.655721e-001
3.242119800553925e-006	5.488206e-001
3.406053462147711e-006	5.712751e-001
3.593008744969578e-006	6.403828e-001
3.736001198991616e-006	7.167168e-001
3.844902273334210e-006	7.839738e-001
3.954443045926169e-006	8.529535e-001
4.064711120428544e-006	9.184127e-001
4.177284439524968e-006	9.769912e-001
4.290596637463428e-006	1.023172e+000
4.436137814466872e-006	1.059976e+000
4.618864503922064e-006	1.072742e+000
4.806134902222351e-006	1.051139e+000
4.982307731953707e-006	1.004780e+000
5.111240022519404e-006	9.593474e-001
5.219752727248479e-006	9.171484e-001
5.338701409641676e-006	8.713042e-001
5.450882509543901e-006	8.315899e-001
5.564723244476971e-006	7.973844e-001
5.678937597984512e-006	7.721102e-001
5.843596990680458e-006	7.527689e-001
6.037819892925725e-006	7.525522e-001
6.228323392881797e-006	7.728313e-001
6.370325288664066e-006	7.988877e-001
6.482803366649932e-006	8.242038e-001
6.591965149744104e-006	8.501364e-001
6.702630265696437e-006	8.756300e-001
6.819401280649991e-006	8.999099e-001
6.932212307356280e-006	9.192249e-001
7.058815656532571e-006	9.342160e-001
7.229852670245893e-006	9.427847e-001
7.443010508423949e-006	9.383733e-001
7.599316957751329e-006	9.255683e-001
7.726167987351438e-006	9.098233e-001
7.836726200582195e-006	8.938900e-001
7.947176246403341e-006	8.773609e-001
8.059062759469927e-006	8.612776e-001
8.181724057237163e-006	8.455146e-001
8.294878851960122e-006	8.337384e-001
8.428606446823353e-006	8.243897e-001
8.601668378720713e-006	8.198121e-001
8.827319013441542e-006	8.237920e-001
8.988831111982688e-006	8.324977e-001
9.111178580074859e-006	8.419912e-001
9.219319889962348e-006	8.514017e-001
9.349287265949102e-006	8.627557e-001
9.468357589189177e-006	8.723130e-001
9.598941026255946e-006	8.810626e-001
9.724582772333604e-006	8.870041e-001
9.891843033507531e-006	8.906281e-001
1.009257919898482e-005	8.896443e-001
1.024955665554297e-005	8.851525e-001
1.038062755289461e-005	8.791649e-001
1.049912367457883e-005	8.726860e-001
1.063397353613936e-005	8.649498e-001
1.078052821565236e-005	8.569790e-001
